brand,model,date,km_driven,transmission,fuel,type,seats,price,url
Hyundai,Elantra,2019,30000,Automatic,Gasoline,Sedan,5,610.000.000,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/91290404.htm
Ford,Ranger,2021,5000,Automatic,Diesel,Pick-up (bán tải),5,1.279.000.000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/87735613.htm
Mercedes Benz,C Class,2018,30000,Automatic,Gasoline,Sedan,5,1.445.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448601.htm
Ford,Laser,2002,200000,Manual,Gasoline,Sedan,5,165.000.000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/89862753.htm
Ford,Ranger,2017,58000,Manual,Diesel,Pick-up (bán tải),5,476.000.000,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/91444388.htm
Ford,Everest,2009,138000,Automatic,Diesel,SUV / Cross over,7,385.000.000,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/90801018.htm
Ford,Focus,2008,190000,Automatic,Gasoline,Hatchback,5,172.000.000,https://xe.chotot.com/mua-ban-oto-thanh-pho-hai-duong-hai-duong/91326930.htm
Honda,CR V,2016,79000,Automatic,Gasoline,SUV / Cross over,5,699.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/91337117.htm
Hyundai,Santa Fe,2017,63000,Automatic,Gasoline,SUV / Cross over,7,818.000.000,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/90195135.htm
Chevrolet,Cavalier,2009,98540,Manual,Gasoline,Minivan (MPV),7,237.000.000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/90981991.htm
Hãng khác,Dòng khác,2010,16869,Manual,Gasoline,Coupe (2 cửa),2,69.000.000,https://xe.chotot.com/mua-ban-oto-huyen-ham-thuan-bac-binh-thuan/91448652.htm
Chevrolet,Trailblazer,2018,55000,Automatic,Diesel,SUV / Cross over,8,685.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91358619.htm
Hyundai,Elantra,2019,30000,Automatic,Gasoline,Sedan,5,610.000.000,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/91290404.htm
Ford,Ranger,2021,5000,Automatic,Diesel,Pick-up (bán tải),5,1.279.000.000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/87735613.htm
Mercedes Benz,C Class,2018,30000,Automatic,Gasoline,Sedan,5,1.445.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448601.htm
Ford,Laser,2002,200000,Manual,Gasoline,Sedan,5,165.000.000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/89862753.htm
Ford,Ranger,2017,58000,Manual,Diesel,Pick-up (bán tải),5,476.000.000,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/91444388.htm
Ford,Everest,2009,138000,Automatic,Diesel,SUV / Cross over,7,385.000.000,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/90801018.htm
Ford,Focus,2008,190000,Automatic,Gasoline,Hatchback,5,172.000.000,https://xe.chotot.com/mua-ban-oto-thanh-pho-hai-duong-hai-duong/91326930.htm
Honda,CR V,2016,79000,Automatic,Gasoline,SUV / Cross over,5,699.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/91337117.htm
