price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
760000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/ban-o-to-25q-san-xuat-2015-mau-den-aidxc6851765,5," Toyota Camry 2.5Q 2015 - 760 triệu
            ", 2015, Sedan, Đã qua sử dụng, Trong nước, 70.000 km, Hà Nội, Số tự động, Xăng
385000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-4x4-at-san-xuat-nam-2009-mau-den-aidxc9068022,7," Toyota Fortuner 2.7 V 4X4 AT 2009 - 385 triệu
            ", 2009, SUV, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tự động, Xăng
625000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-lai-xe-20g-san-xuat-nam-2014-mau-den-aidxc6851891,5," Toyota Camry 2.0G 2014 - 625 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 90.000 km, Hà Nội, Số tự động, Xăng
320000000,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-xe-e-13-at-nam-2011-mau-trang-xe-nhap-320tr-aidxc6852043,5," Toyota Yaris E 1.3 AT 2011 - 320 triệu
            ", 2011, Hatchback, Đã qua sử dụng, Nhập khẩu, 70.520 km, Hà Nội, Số tự động, Xăng
1630000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-ha-noi/ban-txl-27l-san-xuat-nam-2015-mau-den-xe-nhap-aidxc6852301,7," Toyota Land Cruiser Prado TLX 2015 - 1 tỉ 630 triệu
            ", 2015, SUV, Đã qua sử dụng, Nhập khẩu, 65.000 km, Hà Nội, Số tự động, Xăng
548000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/can-ban-gap-15g-at-nam-2020-mau-xam-aidxc6846786,5," Toyota Vios 1.5G AT 2020 - 548 triệu
            ", 2020, Sedan, Đã qua sử dụng, Trong nước, 12.000 km, Hà Nội, Số tự động, Xăng
335000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/can-ban-15g-at-nam-2012-mau-bac-gia-chi-335-trieu-aidxc9064159,5," Toyota Vios 1.5G AT 2012 - 335 triệu
            ", 2012, Sedan, Đã qua sử dụng, Trong nước, 120.000 km, Hà Nội, Số tự động, Xăng
1168000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-binh-duong/xe-24at-4x2-legender-nam-san-xuat-2020-mau-xam-nhap-khau-aidxc6857454,7," Toyota Fortuner 2.4 AT 4x2 Legender 2020 - 1 tỉ 168 triệu
            ", 2020, SUV, Đã qua sử dụng, Nhập khẩu, 38.000 km, Bình Dương, Số tự động, Diesel
760000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/xe-20g-san-xuat-nam-2017-mau-den-aidxc6857527,5," Toyota Camry 2.0G 2017 - 760 triệu
            ", 2017, Sedan, Đã qua sử dụng, Trong nước, 35.000 km, Hà Nội, Số tự động, Xăng
1630000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-ha-noi/ban-txl-27l-nam-san-xuat-2015-mau-den-nhap-khau-nguyen-chiec-aidxc6857969,7," Toyota Land Cruiser Prado TLX 2015 - 1 tỉ 630 triệu
            ", 2015, SUV, Đã qua sử dụng, Nhập khẩu, 68.000 km, Hà Nội, Số tự động, Xăng
930000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-nam-2019-mau-trang-nhap-khau-930tr-aidxc5382104,7," Toyota Fortuner 2019 - 930 triệu
            ", 2019, SUV, Đã qua sử dụng, Nhập khẩu, 30.000 km, Hà Nội, Số tự động, Xăng
475000000,https://oto.com.vn/mua-ban-xe-toyota-innova-dong-nai/ban-20g-nam-san-xuat-2016-mau-bac-aidxc9066853,8," Toyota Innova 2.0G 2016 - 475 triệu
            ", 2016, MPV, Đã qua sử dụng, Trong nước, 48.000 km, Đồng Nai, Số tay, Xăng
290000000,https://oto.com.vn/mua-ban-xe-toyota-hiace-hcm/ban-nam-san-xuat-2009-mau-bac-290-trieu-aidxc6817866,16," Toyota Hiace 3.0L 2009 - 290 triệu
            ", 2009, Van/Minivan, Đã qua sử dụng, Trong nước, 86.000 km, Tp.HCM, Số tay, Diesel
