name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Jaguar XE,,https://www.sanxehot.vn/mua-ban-xe/jaguar-xe-portfolio-at-2016-25654.html,Sedan,Nhập khẩu,25500,Đỏ,,,Xăng,Tự động,,1950000000,2016
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-s400-30at-2014-25653.html,Sedan,Nhập khẩu,18000,Trắng,,3.0,Xăng,Tự động,,3250000000,2014
KIA Sorento,,https://www.sanxehot.vn/mua-ban-xe/kia-sorento-20at-2015-25651.html,SUV 7 chỗ,Lắp ráp trong nước,35000,Vàng cát,,2.0,Xăng,Tự động,,810000000,2015
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-s400l-30at-2015-25650.html,Sedan,Nhập khẩu,11000,Đen,,3.0,Xăng,Tự động,,3260000000,2015
,,https://www.sanxehot.vn/mua-ban-xe/zotye-z300-16at-2015-25635.html,Sedan,Nhập khẩu,30000,Trắng,,1.6,Xăng,Tự động,,395000000,2015
Toyota Innova,,https://www.sanxehot.vn/mua-ban-xe/toyota-innova-g-20mt-2008-25634.html,7 chỗ đa dụng,Lắp ráp trong nước,120000,Vàng cát,,,Xăng,Số sàn,,428000000,2008
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-s500-20at-2003-25633.html,Sedan,Nhập khẩu,110000,Đen,,2.0,Xăng,Tự động,,520000000,2003
Hyundai i20,,https://www.sanxehot.vn/mua-ban-xe/hyundai-i20-14at-2010-25632.html,Hatchback,Nhập khẩu,70000,Bạc,,1.4,Xăng,Tự động,,385000000,2010
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c300-30at-2016-25631.html,Sedan,Nhập khẩu,7000,Trắng,,,Xăng,Tự động,,2600000000,2016
Toyota Land Cruiser Prado,,https://www.sanxehot.vn/mua-ban-xe/toyota-land-cruiser-prado-txl-2011-25629.html,SUV 7 chỗ,Nhập khẩu,80000,Đen,,2.7,Xăng,Tự động,,1530000000,2011
Audi A5,,https://www.sanxehot.vn/mua-ban-xe/audi-a5-20at-2013-25628.html,Sedan,Nhập khẩu,30000,Trắng,,2.0,Xăng,Tự động,,1580000000,2013
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-g-15l-2011-25627.html,Sedan,Lắp ráp trong nước,60000,Bạc,,1.5,Xăng,Tự động,,480000000,2011
Toyota Venza,,https://www.sanxehot.vn/mua-ban-xe/toyota-venza-35at-2009-25612.html,Sedan,Lắp ráp trong nước,44000,Nâu,,3.5,Xăng,Tự động,,960000000,2009
Mercedes-Benz GLK-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-glk300-2009-25582.html,SUV 5 chỗ,Lắp ráp trong nước,45000,Trắng,,3.0,Xăng,Tự động,,890000000,2009
Toyota Camry,,https://www.sanxehot.vn/mua-ban-xe/toyota-camry-35at-2008-25581.html,Sedan,Lắp ráp trong nước,125000,Đen,,2.4,Xăng,Tự động,,630000000,2008
Mitsubishi Triton,,https://www.sanxehot.vn/mua-ban-xe/toyota-innova-20mt-2006-25579.html,Bán tải,Nhập khẩu,68000,Đen,,2.5,Xăng,Tự động,,480000000,2013
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-van-10at-2013-25577.html,Hatchback,Lắp ráp trong nước,40000,Đỏ,,1.0,Xăng,Tự động,,288000000,2013
Toyota Hiace,,https://www.sanxehot.vn/mua-ban-xe/toyota-hiace-25mt-2009-25576.html,16 chỗ,Lắp ráp trong nước,60000,Bạc,,2.5,Xăng,Số sàn,,380000000,2009
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-18mt-2003-25574.html,Sedan,Lắp ráp trong nước,220000,Đồng,,1.8,Xăng,Số sàn,,220000000,2003
Toyota Yaris,,https://www.sanxehot.vn/mua-ban-xe/toyota-yaris-15at-2016-25570.html,Hatchback,Lắp ráp trong nước,3168,Trắng,,1.5,Xăng,Tự động,,640000000,2016
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c200-2014-25568.html,Sedan,Lắp ráp trong nước,25000,Trắng,,2.0,Xăng,Tự động,,1090000000,2014
Mitsubishi Pajero Sport,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-pajero-sport-24at-2014-25567.html,SUV 7 chỗ,Lắp ráp trong nước,40000,Vàng cát,,2.4,Xăng,Tự động,,809000000,2014
Mitsubishi Zinger,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-zinger-24mt-2008-25564.html,7 chỗ đa dụng,Lắp ráp trong nước,80000,Bạc,,2.4,Xăng,Số sàn,,345000000,2008
Mitsubishi Pajero Sport,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-pajero-sport-30at-2012-25562.html,SUV 7 chỗ,Lắp ráp trong nước,43000,Trắng,,3.0,Xăng,Tự động,,710000000,2012
Mitsubishi Zinger,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-zinger-24mt-2009-25560.html,7 chỗ đa dụng,Lắp ráp trong nước,90000,Đen,,2.4,Xăng,Số sàn,,405000000,2009
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-xls-mt-2012-25555.html,Bán tải,Nhập khẩu,38000,Đen,,,Diesel,Số sàn,,489000000,2012
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-10at-2014-25549.html,Hatchback,Lắp ráp trong nước,5900,Đỏ,,1.0,Xăng,Tự động,,495000000,2014
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18mt-2011-25548.html,Sedan,Lắp ráp trong nước,37000,Đen,,1.8,Xăng,Số sàn,,420000000,2011
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-mt-2009-25547.html,Sedan,Lắp ráp trong nước,67000,Vàng cát,,,Xăng,Số sàn,,365000000,2009
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-18at-2003-25546.html,Sedan,Lắp ráp trong nước,15000,Xanh lá,,1.8,Xăng,Tự động,,235000000,2003
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2013-25545.html,SUV 5 chỗ,Lắp ráp trong nước,67000,Bạc,,2.3,Xăng,Tự động,,590000000,2013
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-at-2009-25543.html,SUV 7 chỗ,Lắp ráp trong nước,73000,Hồng phấn,,2.5,Diesel,Tự động,,495000000,2009
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2009-25542.html,SUV 5 chỗ,Lắp ráp trong nước,67000,Ghi xám,,2.3,Xăng,Tự động,,515000000,2009
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2008-25541.html,SUV 5 chỗ,Lắp ráp trong nước,110000,Đen,,2.3,Xăng,Tự động,,420000000,2008
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-20at-2015-25540.html,Hatchback,Lắp ráp trong nước,18000,Đỏ,,2.0,Xăng,Tự động,,668000000,2015
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/fords-laser-18mt-2002-25539.html,Sedan,Lắp ráp trong nước,17000,Xanh lá,,1.8,Xăng,Số sàn,,225000000,2002
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18mt-2007-25538.html,Sedan,Lắp ráp trong nước,87000,Đen,,1.8,Xăng,Số sàn,,258000000,2007
Ford Transit,,https://www.sanxehot.vn/mua-ban-xe/ford-transit-24mt-2015-25536.html,16 chỗ,Lắp ráp trong nước,57000,Trắng,,2.4,Diesel,Số sàn,,799000000,2015
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2010-25534.html,Hatchback,Lắp ráp trong nước,50000,Bạc,,1.8,Xăng,Tự động,,409000000,2010
